customer_id,age,gender,city,branch,employment_type,annual_income,loan_type,loan_amount,loan_tenure_months,interest_rate,monthly_emi,credit_score,loan_purpose,loan_status,application_date,debt_to_income
PKB10014,58.0,Female,Karachi,DHA,Freelancer,394000.0,Personal Loan,290000.0,60,19.37,7582.0,522.0,Business Expansion,Rejected,2023-08-15 14:25:04.881101,0.231
PKB10015,42.0,Female,Karachi,Gulshan,Government,81000.0,Home Loan,330000.0,24,19.91,16781.0,406.0,Medical,Approved,2022-06-13 14:32:17.421777,2.486
PKB10016,47.0,Male,Karachi,Clifton,Salaried,75000.0,Home Loan,1230000.0,36,13.83,41937.0,739.0,Vehicle Purchase,Closed,2023-05-19 18:22:58.723404,6.71
PKB10017,57.0,Male,Lahore,Model Town,Government,108000.0,Home Loan,820000.0,120,9.19,10472.0,588.0,Wedding,Approved,2022-07-31 12:22:31.689612,1.164
PKB10018,44.0,Male,Islamabad,I-8,Salaried,74000.0,Auto Loan,1760000.0,84,13.93,32914.0,587.0,Wedding,Rejected,2022-04-10 17:25:18.397997,5.337
PKB10019,22.0,Male,Lahore,Johar Town,Government,68000.0,Personal Loan,900000.0,24,17.6,44758.0,,Home Renovation,Approved,2024-05-06 16:51:03.829787,7.898
PKB10020,61.0,Male,Lahore,Gulberg,Business Owner,72000.0,Business Loan,320000.0,120,14.58,5081.0,574.0,Business Expansion,Rejected,2023-10-13 16:33:02.478097,0.847
PKB10021,36.0,Female,Rawalpindi,Saddar,Salaried,276000.0,Auto Loan,510000.0,36,18.61%,18594.0,540.0,Vehicle Purchase,Defaulted,2021-01-07 09:18:41.902377,0.808
PKB10022,42.0,Female,KARACHI,Saddar,Government,157000.0,Home Loan,1080000.0,60,13.32,24751.0,598.0,Wedding,Approved,2021-01-04 04:39:20.951188,1.892
PKB10023,30.0,Female,Lahore,DHA,Self-Employed,74000.0,Personal Loan,1200000.0,48,17.07,34670.0,512.0,Travel,Rejected,2022-08-29 06:16:40.250312,5.622
PKB10024,30.0,Male,Lahore,Johar Town,Self-Employed,23000.0,Business Loan,1330000.0,60,11.02,28931.0,652.0,Medical,Defaulted,2023-11-30 14:23:16.745932,15.094
PKB10025,31.0,Female,Islamabad,Blue Area,Salaried,39000.0,Education Loan,350000.0,120,18.62,6447.0,584.0,Electronics,Defaulted,2021-10-07 11:23:03.229036,1.984
PKB10026,47.0,Female,Multan,Husain Agahi,Government,134000.0,Personal Loan,310000.0,12,15.87%,28107.0,571.0,Medical,Approved,2023-10-05 16:54:40.100125,2.517
PKB10027,62.0,Male,Karachi,DHA,Freelancer,28000.0,Home Loan,640000.0,36,11.25,21029.0,563.0,Travel,Defaulted,2021-11-06 19:36:52.265331,9.012
PKB10028,56.0,Male,Islamabad,I-8,Freelancer,118000.0,Personal Loan,2000000.0,120,12.44,29205.0,609.0,Travel,Rejected,2023-12-11 18:41:00.075093,2.97
PKB10029,46.0,Female,Rawalpindi,Satellite Town,Salaried,52000.0,Auto Loan,450000.0,12,18.61,41387.0,627.0,Home Renovation,Defaulted,2023-04-17 19:49:29.211514,9.551
PKB10030,47.0,Male,Karachi,Clifton,Business Owner,104000.0,Personal Loan,1000000.0,12,15.02,90268.0,570.0,Medical,Rejected,2024-05-08 07:10:44.305381,10.416
PKB10031,32.0,Male,Rawalpindi,Saddar,Government,103000.0,Home Loan,1000000.0,84,11.42,17344.0,585.0,Medical,Rejected,2024-04-19 03:14:38.598247,2.021
PKB10032,59.0,Male,Karachi,DHA,Salaried,106000.0,Auto Loan,1240000.0,24,21.56,64060.0,612.0,Vehicle Purchase,Closed,2023-11-05 01:08:29.136420,7.252
PKB10033,23.0,Male,Karachi,Gulshan,Salaried,78000.0,Auto Loan,2340000.0,84,18.15,49388.0,602.0,Business Expansion,Defaulted,2021-12-02 08:51:39.874843,7.598
PKB10034,28.0,Male,Sialkot,Cantt,Salaried,76000.0,Home Loan,2180000.0,36,21.42,82603.0,622.0,Education,Approved,2021-07-24 09:58:20.876095,13.043
PKB10035,39.0,Female,Hyderabad,Auto Bhan,Business Owner,64000.0,Home Loan,480000.0,12,14.27,43159.0,555.0,Electronics,Rejected,2022-02-09 00:57:40.325406,8.092
PKB10036,48.0,Female,Peshawar,Saddar,Government,132000.0,Auto Loan,170000.0,120,14.91,2733.0,715.0,Medical,Approved,2023-06-15 21:57:26.808510,0.248
PKB10037,55.0,Female,Lahore,Johar Town,Government,160000.0,Personal Loan,450000.0,48,20.62,13843.0,629.0,Electronics,Approved,2022-12-19 01:13:53.541927,1.038
PKB10038,48.0,Male,Karachi,Clifton,Salaried,48000.0,Personal Loan,770000.0,12,15.59,69713.0,572.0,Electronics,Rejected,2023-07-19 10:50:36.795994,17.428
PKB10039,38.0,Male,Faisalabad,Peoples Colony,Government,,Business Loan,570000.0,120,18.05,10289.0,652.0,Electronics,Approved,2024-01-20 16:52:51.964956,1.286
PKB10040,64.0,Male,Lahore,Johar Town,Salaried,111000.0,Personal Loan,2890000.0,48,11.9,75963.0,612.0,Medical,Defaulted,2022-09-28 14:30:29.286608,8.212
PKB10041,45.0,Male,Karachi,DHA,Salaried,110000.0,Auto Loan,740000.0,84,14.53,14085.0,455.0,Education,Approved,2022-09-09 10:34:23.579474,1.537
PKB10042,46.0,Male,islamabad,F-10,Government,109000.0,Education Loan,1150000.0,84,10.17,19193.0,652.0,Medical,Rejected,2022-03-20 23:09:32.215269,2.113
PKB10043,28.0,Male,Karachi,DHA,Salaried,78000.0,Personal Loan,850000.0,24,11.28,39727.0,523.0,Vehicle Purchase,Approved,2021-12-21 12:47:45.581977,6.112
PKB10044,27.0,Male,Quetta,Airport Road,Business Owner,117000.0,Home Loan,570000.0,120,8.51,7070.0,708.0,Vehicle Purchase,Approved,2022-01-09 16:43:51.289111,0.725
PKB10045,45.0,Male,Lahore,Model Town,Salaried,143000.0,Auto Loan,190000.0,12,9.03,16618.0,597.0,Education,Approved,2021-05-24 17:30:42.803504,1.395
PKB10046,54.0,Male,Faisalabad,Canal Road,Government,107000.0,Business Loan,690000.0,60,21.69,18936.0,694.0,Wedding,Approved,2021-04-25 23:36:34.242803,2.124
PKB10047,50.0,Male,Lahore,Gulberg,Self-Employed,134000.0,Education Loan,7120000.0,84,11.77,124813.0,560.0,Medical,Defaulted,2023-07-05 01:53:32.515644,11.177
PKB10048,64.0,Female,Islamabad,G-9,Self-Employed,179000.0,Auto Loan,310000.0,84,17.45,6416.0,626.0,Wedding,Defaulted,2022-03-30 13:07:35.068836,0.43
PKB10049,43.0,Male,Islamabad,F-10,Salaried,33000.0,Personal Loan,200000.0,24,19.83,10163.0,734.0,Electronics,Approved,2024-03-13 09:42:07.659574,3.696
PKB10050,47.0,Female,Karachi,Gulshan,Salaried,174000.0,Auto Loan,2830000.0,48,15.93,80102.0,594.0,Medical,Rejected,2022-10-27 08:24:37.847309,5.524
PKB10051,49.0,Male,Hyderabad,Qasimabad,Business Owner,121000.0,Home Loan,1230000.0,24,10.57,57082.0,563.0,Business Expansion,Rejected,2023-09-10 03:39:52.490613,5.661
PKB10052,42.0,Male,Multan,Cantt,Salaried,51000.0,Home Loan,830000.0,12,18.33,76225.0,682.0,Medical,Defaulted,2021-07-21 05:18:59.924906,17.935
PKB10053,28.0,Female,Sialkot,Paris Road,Business Owner,160000.0,Personal Loan,1890000.0,120,16.6,32370.0,680.0,Vehicle Purchase,Defaulted,2021-03-28 05:42:25.682102,2.428
PKB10054,,Male,Quetta,Satellite Town,Freelancer,78000.0,Personal Loan,410000.0,36,18.37,14899.0,567.0,Home Renovation,Rejected,2023-12-27 17:57:44.831038,2.292
PKB10055,41.0,Male,Rawalpindi,Bahria Town,Salaried,84000.0,Business Loan,680000.0,36,18.89,24888.0,431.0,Travel,Defaulted,2022-11-13 22:01:03.078848,3.555
PKB10056,62.0,Female,Sialkot,Cantt,Salaried,73000.0,Home Loan,1420000.0,120,21.67,29033.0,,Home Renovation,Defaulted,2024-01-04 17:36:07.209011,4.773
PKB10057,,Male,Karachi,Gulshan,Government,,Home Loan,3200000.0,48,16.24,91083.0,684.0,Home Renovation,Approved,2023-02-17 17:41:31.614518,9.263
PKB10058,43.0,Female,Karachi,DHA,Freelancer,62000.0,Home Loan,320000.0,84,13.11,5841.0,546.0,Home Renovation,Rejected,2023-11-19 10:05:33.416770,1.131
PKB10059,49.0,Male,Karachi,Gulshan,Business Owner,170000.0,Business Loan,1790000.0,48,17.25,51882.0,618.0,Travel,Closed,2024-02-13 15:47:59.098873,3.662
PKB10060,61.0,Male,Lahore,Johar Town,Self-Employed,91000.0,Auto Loan,950000.0,84,9.42,15488.0,557.0,Wedding,Defaulted,2021-09-23 02:25:58.948685,2.042
PKB10061,28.0,Male,Lahore,Johar Town,Government,79000.0,Personal Loan,820000.0,84,20.61,18511.0,436.0,Travel,Rejected,2023-05-24 13:22:00.150187,2.812
PKB10062,22.0,Male,Lahore,Model Town,Salaried,155000.0,Personal Loan,730000.0,36,10.11,23593.0,555.0,Wedding,Rejected,2024-05-01 21:52:02.403003,1.827
PKB10063,53.0,Female,Peshawar,Hayatabad,Freelancer,81000.0,Personal Loan,280000.0,48,12.93,7502.0,683.0,Travel,Approved,2021-08-15 18:33:47.534418,1.111
PKB10064,34.0,Female,Lahore,Model Town,Freelancer,174000.0,Education Loan,1430000.0,24,19.51,72439.0,394.0,Travel,Rejected,2022-07-21 22:24:28.836045,4.996
PKB10065,51.0,Male,Lahore,Johar Town,Salaried,178000.0,Auto Loan,420000.0,84,16.56,8477.0,643.0,Medical,Rejected,2023-04-03 10:52:24.931163,0.571
PKB10066,44.0,Male,Islamabad,F-10,Salaried,44000.0,Home Loan,340000.0,60,13.81,7878.0,507.0,Wedding,Rejected,2023-10-10 11:53:41.526908,2.149
PKB10067,40.0,Female,Karachi,Gulshan,Salaried,192000.0,Auto Loan,1360000.0,60,14.89,32276.0,677.0,Medical,Rejected,2021-08-26 22:51:30.863579,2.017
PKB10068,53.0,Male,Peshawar,University Town,Salaried,41000.0,Home Loan,1270000.0,24,20.04,64662.0,687.0,Business Expansion,Defaulted,2023-12-21 08:39:02.928660,18.925
PKB10069,51.0,Male,KARACHI,DHA,Business Owner,199000.0,Business Loan,770000.0,60,13.09,17555.0,603.0,Medical,Approved,2021-05-27 22:10:03.754693,1.059
PKB10070,50.0,Male,Hyderabad,Qasimabad,Salaried,333000.0,Home Loan,1550000.0,12,20.24,143762.0,603.0,Home Renovation,Approved,2023-03-21 16:15:01.126408,5.181
PKB10071,50.0,Male,Multan,Husain Agahi,Salaried,167000.0,Personal Loan,1980000.0,84,9.69,32554.0,543.0,Education,Rejected,2022-09-11 00:54:04.055068,2.339
PKB10072,51.0,Female,Karachi,DHA,Salaried,27000.0,Personal Loan,1820000.0,24,18.99,91735.0,492.0,Education,Defaulted,2021-07-08 10:41:36.120150,40.771
PKB10073,37.0,Female,Karachi,Clifton,Freelancer,187000.0,Home Loan,500000.0,48,19.94,15199.0,781.0,Vehicle Purchase,Approved,2023-01-31 04:05:06.382978,0.975
PKB10074,61.0,Male,Peshawar,Hayatabad,Government,380000.0,Education Loan,1480000.0,84,10.95,25302.0,537.0,Vehicle Purchase,Rejected,2022-02-25 00:14:25.081351,0.799
PKB10075,40.0,Male,Faisalabad,Clock Tower,Self-Employed,82000.0,Home Loan,850000.0,24,14.31,40936.0,768.0,Electronics,Defaulted,2022-05-15 20:38:08.861076,5.991
PKB10076,39.0,Male,Faisalabad,Canal Road,Salaried,97000.0,Business Loan,2440000.0,36,10.73,,538.0,Medical,Rejected,2023-06-14 07:37:46.332916,9.844
PKB10077,22.0,Male,Multan,Gulgasht,Freelancer,48000.0,Business Loan,670000.0,48,18.04,19695.0,669.0,Travel,Closed,2021-03-04 06:47:18.548185,4.924
PKB10078,35.0,Male,Karachi,Clifton,Business Owner,119000.0,Personal Loan,570000.0,36,15.73,19964.0,511.0,Travel,Closed,2022-06-10 09:52:56.470588,2.013
PKB10079,23.0,Female,Lahore,Model Town,Salaried,211000.0,Personal Loan,470000.0,84,17.08,9627.0,669.0,Education,Approved,2024-06-26 19:20:39.048811,0.548
PKB10080,49.0,Male,karachi,Saddar,Salaried,150000.0,Personal Loan,830000.0,48,11.15,21512.0,589.0,Home Renovation,Rejected,2023-10-12 02:13:22.002503,1.721
PKB10081,51.0,Male,Peshawar,University Town,Salaried,650000.0,Auto Loan,1010000.0,60,11.36,22142.0,590.0,Wedding,Closed,2023-11-11 10:27:11.038798,0.409
PKB10082,59.0,Male,Rawalpindi,Satellite Town,Salaried,101000.0,Personal Loan,1020000.0,24,9.06,46627.0,677.0,Home Renovation,Closed,2023-12-16 13:40:01.501877,5.54
PKB10083,25.0,Male,Lahore,Gulberg,Self-Employed,37000.0,Home Loan,930000.0,84,12.85,16843.0,575.0,Electronics,Approved,2021-05-19 22:31:41.376720,5.463
PKB10084,22.0,Male,Karachi,Clifton,Freelancer,109000.0,Home Loan,1170000.0,12,16.06,106188.0,484.0,Home Renovation,Approved,2022-12-12 15:55:11.639549,11.69
PKB10085,29.0,Female,Lahore,DHA,Self-Employed,23000.0,Auto Loan,620000.0,48,20.08,18893.0,692.0,Medical,Approved,2021-09-02 08:10:12.765957,9.857
PKB10086,50.0,Male,Lahore,Model Town,Business Owner,72000.0,Personal Loan,400000.0,48,17.5,11646.0,511.0,Medical,Closed,2023-02-08 03:43:28.760951,1.941
PKB10087,60.0,Female,Faisalabad,Canal Road,Self-Employed,262000.0,Home Loan,370000.0,120,14.38,5830.0,669.0,Business Expansion,Approved,2022-01-28 20:39:56.996245,0.267
PKB10088,24.0,Male,Rawalpindi,Satellite Town,Government,120000.0,Home Loan,1440000.0,84,21.37,33175.0,,Electronics,Approved,2021-05-10 08:33:38.523153,3.318
PKB10089,53.0,Male,Quetta,Jinnah Road,Government,110000.0,Home Loan,1010000.0,84,18.21,21353.0,584.0,Home Renovation,Defaulted,2021-09-27 21:25:00.375469,2.329
PKB10090,31.0,Male,Islamabad,G-9,Salaried,294000.0,Business Loan,200000.0,36,21.06,7541.0,732.0,Travel,Approved,2021-11-29 04:12:18.923654,0.308
PKB10091,31.0,Male,Karachi,DHA,Salaried,84000.0,Personal Loan,1570000.0,120,15.62,25929.0,665.0,Travel,Rejected,2023-11-13 00:46:51.514392,3.704
PKB10092,40.0,Male,Faisalabad,Canal Road,Government,210000.0,Business Loan,2720000.0,60,12.0,60505.0,553.0,Electronics,Rejected,2021-11-19 14:14:16.070087,3.457
PKB10093,55.0,Male,Multan,Gulgasht,Salaried,107000.0,Auto Loan,440000.0,36,9.21,14035.0,753.0,Home Renovation,Defaulted,2022-08-10 02:20:34.543178,1.574
PKB10094,54.0,Female,Islamabad,F-10,Salaried,124000.0,Auto Loan,920000.0,120,18.3,16755.0,,Medical,Rejected,2021-07-06 20:21:55.644555,1.621
PKB10095,44.0,Female,Multan,Cantt,Self-Employed,48000.0,Auto Loan,520000.0,36,10.14,16813.0,584.0,Medical,Defaulted,2022-08-02 02:42:12.165206,4.203
PKB10096,49.0,Male,Islamabad,F-10,Freelancer,74000.0,Home Loan,1130000.0,60,12.59,25474.0,600.0,Business Expansion,Rejected,2022-01-06 12:04:30.337922,4.131
PKB10097,53.0,Male,Islamabad,Blue Area,Self-Employed,,Personal Loan,320000.0,120,15.69,5299.0,677.0,Business Expansion,Approved,2023-07-14 15:51:35.369211,1.479
PKB10098,28.0,Male,Lahore,Model Town,Business Owner,93000.0,Auto Loan,690000.0,120,16.12,11610.0,725.0,Vehicle Purchase,Approved,2021-06-01 17:09:05.181476,1.498
PKB10099,,Male,Karachi,Saddar,Self-Employed,125000.0,Home Loan,1450000.0,12,16.61,131979.0,720.0,Electronics,Approved,2024-04-03 03:57:53.842302,12.67
PKB10100,29.0,Male,Karachi,Clifton,Government,,Auto Loan,1730000.0,36,10.74,56425.0,,Education,Approved,2022-08-24 11:17:38.823529,13.276
PKB10101,22.0,Female,Karachi,Gulshan,Self-Employed,338000.0,Home Loan,980000.0,36,13.63,,593.0,Home Renovation,Defaulted,2022-08-11 16:40:15.018773,1.183
PKB10102,24.0,Male,Rawalpindi,Bahria Town,Business Owner,117000.0,Education Loan,580000.0,48,16.83,16685.0,446.0,Electronics,Defaulted,2021-08-17 08:53:28.010012,1.711
PKB10103,45.0,Male,Lahore,Model Town,Self-Employed,102000.0,Auto Loan,240000.0,60,21.59,6573.0,495.0,Travel,Rejected,2021-08-07 18:55:25.156445,0.773
PKB10104,44.0,Male,Islamabad,F-10,Government,157000.0,Personal Loan,430000.0,24,18.32,21534.0,787.0,Home Renovation,Approved,2021-01-26 13:14:47.609511,1.646
PKB10105,29.0,Male,Quetta,Satellite Town,Government,60000.0,Home Loan,530000.0,12,20.96,49340.0,445.0,Business Expansion,Rejected,2023-05-30 22:40:42.052565,9.868
PKB10106,58.0,Female,Karachi,Clifton,Self-Employed,109000.0,Business Loan,450000.0,120,18.79,8339.0,545.0,Business Expansion,Defaulted,2024-02-18 10:47:00.525657,0.918
PKB10107,24.0,Male,Lahore,DHA,Salaried,64000.0,Business Loan,760000.0,120,16.49,12964.0,728.0,Vehicle Purchase,Approved,2024-03-29 08:58:52.415519,2.431
PKB10108,54.0,Male,Multan,Gulgasht,Salaried,252000.0,Home Loan,570000.0,120,11.09,7881.0,639.0,Education,Approved,2022-09-17 10:12:45.957446,0.375
PKB10109,49.0,Female,Karachi,Gulshan,Salaried,52000.0,Business Loan,820000.0,12,17.5,74983.0,708.0,Vehicle Purchase,Approved,2021-01-18 13:36:25.231539,17.304
PKB10110,29.0,Male,Karachi,Gulshan,Business Owner,103000.0,Personal Loan,1690000.0,120,16.92,29286.0,671.0,Travel,Approved,2023-07-03 11:33:52.040050,3.412
PKB10111,55.0,Female,Lahore,Model Town,Salaried,120000.0,Home Loan,550000.0,120,16.63,9430.0,759.0,Education,Approved,2021-12-13 13:09:23.204005,0.943
PKB10112,56.0,Male,Karachi,Gulshan,Salaried,125000.0,Business Loan,280000.0,60,15.11,6677.0,648.0,Wedding,Approved,2023-08-04 10:07:21.551939,0.641
PKB10113,53.0,Male,Sialkot,Paris Road,Government,70000.0,Business Loan,450000.0,84,15.64,8846.0,683.0,Home Renovation,Approved,2023-11-21 00:25:13.892365,1.516
PKB10114,45.0,Female,Peshawar,Hayatabad,Salaried,58000.0,Auto Loan,1100000.0,84,13.01,20017.0,551.0,Vehicle Purchase,Defaulted,2021-01-16 23:16:44.755944,4.141
PKB10115,35.0,Male,Rawalpindi,Satellite Town,Self-Employed,70000.0,Business Loan,1170000.0,48,15.51,32865.0,675.0,Business Expansion,Approved,2023-03-08 21:37:37.321652,5.634
PKB10116,53.0,Male,Quetta,Airport Road,Salaried,,Personal Loan,970000.0,48,11.17,25150.0,582.0,Vehicle Purchase,Approved,2021-03-26 15:22:45.206508,2.219
PKB10117,64.0,Male,Peshawar,University Town,Freelancer,91000.0,Business Loan,1810000.0,120,19.37,34227.0,576.0,Wedding,Rejected,2023-07-25 20:09:18.698372,4.513
PKB10118,37.0,Male,Karachi,Gulshan,Business Owner,159000.0,Home Loan,640000.0,60,11.01,13918.0,704.0,Vehicle Purchase,Approved,2023-08-14 00:05:24.405506,1.05
PKB10119,25.0,Male,Quetta,Airport Road,Business Owner,,Personal Loan,3070000.0,120,9.65,39978.0,705.0,Home Renovation,Rejected,2024-04-17 12:54:58.122653,3.662
PKB10120,,Female,Islamabad,F-10,Self-Employed,,Personal Loan,1290000.0,48,14.39,35504.0,780.0,Wedding,Approved,2022-01-14 11:42:52.715894,17.042
PKB10121,42.0,Female,Peshawar,University Town,Government,115000.0,Home Loan,120000.0,12,17.39,10967.0,774.0,Electronics,Approved,2022-04-12 07:44:58.873591,1.144
PKB10122,35.0,Male,Quetta,Satellite Town,Salaried,381000.0,Personal Loan,2570000.0,12,14.41,231249.0,707.0,Electronics,Approved,2023-02-11 08:22:49.712140,7.283
PKB10123,52.0,Male,Lahore,Gulberg,Salaried,219000.0,Home Loan,430000.0,24,12.24,20290.0,456.0,Electronics,Rejected,2023-06-09 12:38:44.906132,1.112
PKB10124,39.0,Male,Karachi,DHA,Salaried,127000.0,Personal Loan,350000.0,84,16.04,6960.0,,Business Expansion,Approved,2021-05-21 12:51:21.852315,0.658
PKB10125,28.0,Male,Karachi,DHA,Self-Employed,52000.0,Personal Loan,1050000.0,60,13.18,23988.0,707.0,Business Expansion,Defaulted,2021-02-21 02:29:35.219023,5.536
PKB10126,31.0,Male,Lahore,DHA,Self-Employed,131000.0,Auto Loan,220000.0,36,21.09,8299.0,547.0,Electronics,Rejected,2023-09-05 08:40:51.063829,0.76
PKB10127,28.0,Male,Peshawar,Saddar,Self-Employed,154000.0,Home Loan,450000.0,84,20.96,10255.0,689.0,Electronics,Approved,2023-01-15 04:48:21.627033,0.799
PKB10128,54.0,Female,Peshawar,Saddar,Salaried,85000.0,Home Loan,2170000.0,36,15.28,75522.0,521.0,Electronics,Approved,2021-12-18 08:08:24.630788,10.662
PKB10129,44.0,Male,Karachi,Gulshan,Self-Employed,119000.0,Auto Loan,1080000.0,24,12.93,51310.0,678.0,Medical,Approved,2021-08-06 04:35:44.680851,5.174
PKB10130,42.0,Male,Islamabad,F-10,Government,244000.0,Business Loan,1290000.0,24,18.45,64683.0,494.0,Electronics,Rejected,2021-09-05 12:49:33.717146,3.181
PKB10131,40.0,Male,Lahore,Model Town,Self-Employed,59000.0,Business Loan,460000.0,120,9.0,5827.0,543.0,Wedding,Rejected,2024-05-22 16:07:48.585732,1.185
PKB10132,40.0,Female,Karachi,DHA,Government,52000.0,Home Loan,250000.0,48,14.91,6946.0,687.0,Medical,Rejected,2021-04-02 00:41:27.108886,1.603
PKB10133,57.0,Female,Karachi,Gulshan,Salaried,150000.0,Auto Loan,1200000.0,24,13.04,57073.0,721.0,Medical,Approved,2021-05-26 07:50:23.279098,4.566
PKB10134,50.0,Male,Lahore,Gulberg,Business Owner,130000.0,Personal Loan,1400000.0,24,20.93,71892.0,650.0,Home Renovation,Approved,2023-08-31 13:41:49.637046,6.636
PKB10135,39.0,Male,Sialkot,Kashmir Road,Self-Employed,183000.0,Personal Loan,1360000.0,36,8.66,43033.0,592.0,Vehicle Purchase,Defaulted,2022-10-08 04:28:32.140175,2.822
PKB10136,23.0,Female,Lahore,Gulberg,Salaried,139000.0,Home Loan,840000.0,48,15.96,23789.0,419.0,Business Expansion,Closed,2022-05-17 10:57:49.336670,2.054
PKB10137,22.0,Male,Islamabad,I-8,Salaried,70000.0,Business Loan,370000.0,24,18.5,18561.0,600.0,Business Expansion,Approved,2021-02-09 22:11:51.889862,3.182
PKB10138,26.0,Female,Faisalabad,Clock Tower,Government,128000.0,Personal Loan,4020000.0,84,15.05,77686.0,670.0,Vehicle Purchase,Approved,2023-09-14 22:38:53.917396,7.283
PKB10139,41.0,Male,Lahore,Gulberg,Business Owner,50000.0,Personal Loan,1020000.0,24,9.65,46903.0,589.0,Business Expansion,Rejected,2021-08-18 23:13:08.485607,11.257
PKB10140,,Male,Hyderabad,Auto Bhan,Self-Employed,,Personal Loan,650000.0,48,21.63,20349.0,617.0,Vehicle Purchase,Approved,2022-12-25 10:32:35.444305,2.873
PKB10141,63.0,Male,Hyderabad,Qasimabad,Salaried,133000.0,Business Loan,650000.0,120,15.49,10683.0,,Wedding,Approved,2023-09-29 07:35:58.197747,0.964
PKB10142,23.0,Female,Lahore,Gulberg,Business Owner,80000.0,Auto Loan,810000.0,60,16.79,20039.0,589.0,Home Renovation,Approved,2023-05-13 09:04:16.821026,3.006
PKB10143,24.0,Male,Islamabad,I-8,Government,434000.0,Personal Loan,1540000.0,48,11.69,40320.0,627.0,Electronics,Rejected,2022-09-06 05:55:02.628285,1.115
PKB10144,44.0,Female,lahore,Gulberg,Self-Employed,32000.0,Auto Loan,830000.0,36,15.03,28784.0,594.0,Home Renovation,Rejected,2022-04-20 07:23:21.251564,10.794
PKB10145,33.0,Male,Lahore,Gulberg,Self-Employed,71000.0,Home Loan,1330000.0,60,14.29,31147.0,757.0,Travel,Approved,2022-08-05 07:21:33.116395,5.264
PKB10146,41.0,Male,Karachi,Clifton,Salaried,56000.0,Auto Loan,810000.0,84,9.51,13243.0,410.0,Home Renovation,Approved,2023-03-02 12:18:55.419274,2.838
PKB10147,26.0,Male,Rawalpindi,Bahria Town,Government,65000.0,Personal Loan,670000.0,12,9.93,58882.0,568.0,Vehicle Purchase,Defaulted,2022-02-02 15:38:58.423028,10.871
PKB10148,58.0,Male,Islamabad,I-8,Salaried,67000.0,Business Loan,1140000.0,48,19.81,34575.0,537.0,Travel,Approved,2021-04-21 04:37:32.816020,6.193
PKB10149,59.0,Male,Karachi,DHA,Freelancer,45000.0,Home Loan,1110000.0,120,11.74,15759.0,640.0,Vehicle Purchase,Rejected,2024-06-18 19:42:16.670838,4.202
PKB10150,51.0,Male,Lahore,DHA,Self-Employed,155000.0,Auto Loan,650000.0,36,11.13,21320.0,627.0,Electronics,Approved,2022-06-24 18:50:00.750938,1.651
PKB10151,30.0,Female,Quetta,Satellite Town,Self-Employed,,Personal Loan,430000.0,84,15.32,8375.0,774.0,Education,Approved,2021-11-03 14:57:31.314142,1.415
